Key    ,Frequency,Lower Acceptance,Upper Acceptance,Lower Bound,Upper Bound
A#0/Bb0,29.14    ,0.82            ,0.865           ,28.32      ,30.005
A#1/Bb1,58.27    ,1.635           ,1.735           ,56.635     ,60.005
A#2/Bb2,116.54   ,3.27            ,3.465           ,113.27     ,120.005
A#3/Bb3,233.08   ,6.54            ,6.93            ,226.54     ,240.01
A#4/Bb4,466.16   ,13.08           ,13.86           ,453.08     ,480.02
A#5/Bb5,932.33   ,26.165          ,27.72           ,906.165    ,960.05
A#6/Bb6,1864.66  ,52.33           ,55.435          ,1812.33    ,1920.095
A#7/Bb7,3729.31  ,104.655         ,110.88          ,3624.655   ,3840.19
A#8/Bb8,7458.62  ,209.31          ,221.755         ,7249.31    ,7680.375
B0     ,30.87    ,0.865           ,0.915           ,30.005     ,31.785
B1     ,61.74    ,1.735           ,1.835           ,60.005     ,63.575
B2     ,123.47   ,3.465           ,3.67            ,120.005    ,127.14
B3     ,246.94   ,6.93            ,7.345           ,240.01     ,254.285
B4     ,493.88   ,13.86           ,14.685          ,480.02     ,508.565
B5     ,987.77   ,27.72           ,29.365          ,960.05     ,1017.135
B6     ,1975.53  ,55.435          ,58.735          ,1920.095   ,2034.265
B7     ,3951.07  ,110.88          ,117.47          ,3840.19    ,4068.54
B8     ,7902.13  ,221.755         ,null            ,7680.375   ,null
